Date,Open,High,Low,Close
2003-01-31,198.38,210.8,197.23,210.61
2003-02-28,209.51,222.67,209.51,221.97
2003-03-31,218.11,223.11,198.67,204.24
2003-04-30,201.79,208.2,197.79,199.95
2003-05-31,200.77,210.6,198.79,208.64
2003-06-30,212.1,214.46,205.47,208.88
2003-07-31,209.86,213.27,206.09,211.42
2003-08-31,216.07,220.63,213.43,220.49
2003-09-30,214.75,217.77,208.99,217.29
2003-10-31,217.65,229.25,217.65,223.72
2003-11-30,221.41,234.74,221.41,225.62
2003-12-31,229.39,245.42,229.39,238.99
2004-01-31,246.71,253.83,243.59,245.03
2004-02-29,247.78,263.29,244.38,263.29
2004-03-31,266.85,270.76,257.78,267.63
2004-04-30,263.82,270.19,258.93,265.63
2004-05-31,269.57,277.56,268.31,276.84
2004-06-30,284.03,284.03,260.55,262.6
2004-07-31,267.06,273.71,265.62,273.36
2004-08-31,273.11,283.46,269.91,272.52
2004-09-30,276.41,289.08,267.94,289.08
2004-10-31,289.76,300.61,287.27,291.94
2004-11-30,286.71,294.78,283.95,292.21
2004-12-31,284.9,287.25,270.18,278.58
2005-01-31,273.93,289.23,273.53,285.68
2005-02-28,282.9,304.95,278.4,304.95
2005-03-31,303.37,323.96,303.37,316.16
2005-04-30,317.78,317.78,296.59,296.69
2005-05-31,297.5,297.5,283.44,292.08
2005-06-30,298.16,313.76,296.51,300
2005-07-31,303.86,313.32,300.76,312
2005-08-31,314.72,331.2,311.75,329.42
2005-09-30,336.2,336.2,315.39,332.97
2005-10-31,333.22,333.22,316.29,316.29
2005-11-30,315.83,321.29,311.23,314.27
2005-12-31,320.71,335.62,320.71,331.83
2006-01-31,336.37,350.06,334.71,348.66
2006-02-28,344.59,345.9,320.75,324.36
2006-03-31,324.84,337.31,317.87,333.18
2006-04-30,335.61,358.59,332.43,349.89
2006-05-31,355.22,365.35,342.29,344.87
2006-06-30,343.12,350.05,330.23,346.39
2006-07-31,349.86,357.21,339.61,349.83
2006-08-31,349.56,353.7,327.1,329.03
2006-09-30,325.42,327.03,300.67,305.58
2006-10-31,301.36,312.77,295.13,305.87
2006-11-30,306.35,321.53,304.85,321.53
2006-12-31,321.23,321.23,306.04,307.26
2007-01-31,298.49,301.22,285.88,301.22
2007-02-28,299.22,315.11,298.87,312.39
2007-03-31,312.24,317.73,304.06,316.88
2007-04-30,315.07,317.93,310.38,312.71
2007-05-31,311.58,316.49,307.47,311.46
2007-06-30,314.12,320.9,307.51,315.74
2007-07-31,316.7,326,316.64,324.1
2007-08-31,319.87,320.18,299.77,308.76
2007-09-30,311.2,336.71,310.93,333.67
2007-10-31,332.32,351.01,323.39,351.01
2007-11-30,349.19,355.63,339.84,339.84
2007-12-31,339.92,359.78,339.51,358.71
2008-01-31,366.86,370.22,349.24,369.46
2008-02-29,364.34,413.59,363.8,412.75
2008-03-31,416.74,420.64,381.74,386.89
2008-04-30,384.93,422.11,384.93,409.27
2008-05-31,400.1,434.4,400.1,422.17
2008-06-30,425.77,464.4,416.75,462.74
2008-07-31,467.57,473.52,411.52,416.4
2008-08-31,416.03,416.03,382.3,391.71
2008-09-30,378.55,378.55,341.17,345.53
2008-10-31,343.24,343.24,256,268.39
2008-11-30,264.11,278.22,230.35,244.94
2008-12-31,233.35,233.35,208.6,229.54
2009-01-31,233.92,242.78,215.88,220.37
2009-02-28,216.29,224.36,200.4,211.57
2009-03-31,200.34,229.54,200.34,220.4
2009-04-30,217.81,228.94,217.11,222.39
2009-05-31,229.04,253.05,229.04,253.05
2009-06-30,260.81,266.17,246.07,249.97
2009-07-31,251.17,257.45,231.21,257.45
2009-08-31,266.28,268.43,253.33,253.68
2009-09-30,248.98,262.91,247.58,259.39
2009-10-31,255.55,284.09,252.88,270.38
2009-11-30,273.5,278.41,269.12,277.4
2009-12-31,279.34,284.45,267.75,283.38
2010-01-31,289.34,293.78,265.59,265.59
2010-02-28,267.98,277.8,258.55,274.78
2010-03-31,272.72,277.71,267.32,273.34
2010-04-30,276.43,279.96,273.18,277.71
2010-05-31,278.1,278.1,248.79,254.8
2010-06-30,252.41,265.61,248.94,258.52
2010-07-31,256.21,274.35,253.8,274.35
2010-08-31,276.84,278.98,261.81,264.19
2010-09-30,268.51,286.86,268.51,286.86
2010-10-31,285.69,301.29,283.99,300.67
2010-11-30,301.53,319.11,295.43,301.41
2010-12-31,308.91,332.8,308.91,332.8
2011-01-31,333.02,341.42,323.94,341.42
2011-02-28,342.17,352.58,336.29,352.58
2011-03-31,355.18,362.89,338.14,359.43
2011-04-30,360.89,370.56,359.05,370.56
2011-05-31,368.17,368.17,336.48,350.06
2011-06-30,345.92,350.84,328.75,338.05
2011-07-31,336.71,349.17,336.71,342.08
2011-08-31,341.41,342.57,316.12,342.57
2011-09-30,340.65,340.65,298.15,298.15
2011-10-31,296.38,324.27,293.28,319.84
2011-11-30,315.23,322.61,305.45,313.82
2011-12-31,313.31,313.55,294.45,305.3
2012-01-31,313.37,317.81,307.7,312.31
2012-02-29,311.53,325.91,310.9,322.43
2012-03-31,324.32,324.32,305.94,308.46
2012-04-30,312.25,312.25,299.15,305.95
2012-05-31,307.95,307.95,272.97,272.97
2012-06-30,268.31,284.19,267.16,284.19
2012-07-31,284.21,304.97,284.21,299.51
2012-08-31,299.23,309.59,294.5,309.59
2012-09-30,308.81,320.93,303.74,309.3
2012-10-31,311.26,311.49,295.23,295.85
2012-11-30,296.89,299.35,291.49,298.98
2012-12-31,300.26,300.26,292.7,295.01
2013-01-31,297.54,304.77,293.97,303.99
2013-02-28,304.13,305.82,292.32,292.95
2013-03-31,292.95,298.71,289.2,296.39
2013-04-30,296.39,296.39,280.17,288.13
2013-05-31,286.54,291.45,281.79,281.85
2013-06-30,283.25,288.25,275.54,275.62
2013-07-31,276.76,292,276.67,283.94
2013-08-31,285.88,296.46,280.64,291.16
2013-09-30,292.21,293.68,284.56,285.54
2013-10-31,285.13,288.71,277.81,277.86
2013-11-30,277.01,277.01,272.36,274.97
2013-12-31,274.92,284.68,274.21,280.17
2014-01-31,279.72,285.02,272.04,283.31
2014-02-28,283.54,304.02,283.25,302.43
2014-03-31,306.18,308.38,299.22,304.67
2014-04-30,304.43,312.68,300.5,309.53
2014-05-31,307.99,309.12,304.3,305.48
2014-06-30,305.69,313.27,303.04,308.22
2014-07-31,308.04,308.06,294.33,294.43
2014-08-31,293.56,294.44,286.78,292.75
2014-09-30,291.71,291.71,276.65,278.55
2014-10-31,279.16,280.91,267.78,271.96
2014-11-30,272.79,272.79,254.07,254.37
2014-12-31,253.56,258.9,228.99,229.96
2015-01-31,228.98,229.99,211.27,218.84
2015-02-28,219.55,229.57,218.26,224.08
2015-03-31,222.5,224.53,206.81,211.86
2015-04-30,211.81,229.65,211.75,229.49
2015-05-31,229.25,233.53,218.92,223.18
2015-06-30,222.75,229.33,219.33,227.17
2015-07-31,225.74,226.21,202.3,202.57
2015-08-31,200.93,202.45,185.13,202.09
2015-09-30,199.79,200.54,191.17,193.765
